SPECTRUM - MS
FTMS + p EI Full ms [40.0000-500.0000]
Scan #: 8748
RT: 12.9278576225655
Scan Number,m/z,Intensity,Relative,Segment Number,Flags
8748 - 8774,277.076183907574,33148.5661664047,0.0121927983881478,1,
8748 - 8774,77.0133537217591,31274.0502513276,0.0115033086976081,1,
8748 - 8774,109.066295009368,25342.6473310444,0.00932160347383348,1,
8748 - 8774,96.0461781731734,21391.9131776456,0.00786843337966567,1,
8748 - 8774,96.0949539819955,20985.5925728212,0.00771897939753252,1,
8748 - 8774,71.0603734354772,20135.2714373753,0.00740621189749565,1,
8748 - 8774,57.0446821092542,19051.9494307446,0.00700774136486431,1,
8748 - 8774,97.0397333642047,18903.0517294524,0.00695297339561941,1,
8748 - 8774,132.0558513329,18088.0516320571,0.00665319777865978,1,
8748 - 8774,81.2166736016816,14017.1909821183,0.0051558424203079,1,
8748 - 8774,96.080763475346,14004.238749827,0.00515107829397398,1,
8748 - 8774,68.0455640556132,9635.63067736318,0.00354420464529202,1,
8748 - 8774,96.0506134755309,9546.51940902781,0.00351142748915588,1,
8748 - 8774,104.049205019978,8366.50212643453,0.00307739022947581,1,
8748 - 8774,80.8732562582903,7662.09429180179,0.0028182929681465,1,
8748 - 8774,94.0394992488724,7340.84849756826,0.00270013144096408,1,
8748 - 8774,81.0398021254493,6746.40059272474,0.002481479948781,1,
8748 - 8774,57.0464361923248,6742.65317671633,0.002480101563736,1,
8748 - 8774,84.0808839714244,6579.91880224852,0.00242024415063563,1,
8748 - 8774,120.05531794433,6522.74499447489,0.00239921432063432,1,
8748 - 8774,56.0369609186781,6496.29068759417,0.00238948382343346,1,
8748 - 8774,96.2582624718364,6485.90819569461,0.002385664906203,1,
8748 - 8774,98.9910060247519,6440.82900403616,0.00236908375175328,1,
8748 - 8774,55.5859700432544,6183.26712914618,0.00227434662203122,1,
8748 - 8774,120.252967564431,6182.15285526273,0.00227393676669262,1,
8748 - 8774,288.623741764438,6180.80347203585,0.00227344043277727,1,
8748 - 8774,79.0370186262952,6143.02620162954,0.00225954509144014,1,
8748 - 8774,73.1706949867807,6133.14738967618,0.00225591143917726,1,
8748 - 8774,82.6121620789225,6068.55068383713,0.00223215129803329,1,
8748 - 8774,63.6098147939987,5974.39624634151,0.00219751914930111,1,
8748 - 8774,65.7108143067192,5952.36949495148,0.00218941720795329,1,
8748 - 8774,76.0179843549379,5892.10749321348,0.00216725146980434,1,
8748 - 8774,148.765934696964,5886.52157330897,0.00216519684111041,1,
8748 - 8774,321.192028492889,5797.21497312695,0.00213234783746772,1,
8748 - 8774,73.0297211032939,5741.65895731424,0.00211191306823358,1,
8748 - 8774,132.232257023791,5739.72860424398,0.00211120304036433,1,
8748 - 8774,396.80007110802,5738.31763395426,0.00211068405332315,1,
8748 - 8774,127.892707152713,5692.36234940901,0.00209378065193567,1,
8748 - 8774,62.0662336086508,5679.0325973782,0.00208887766523453,1,
8748 - 8774,71.1636375448984,5678.97720412231,0.00208885729033211,1,
8748 - 8774,51.7531127366998,5664.74230092341,0.00208362136839486,1,
8748 - 8774,147.153260713719,5600.13360908743,0.00205985681852795,1,
8748 - 8774,379.456205147441,5589.30789828207,0.00205587487527901,1,
8748 - 8774,60.3688045834587,5574.2029693613,0.0020503189380456,1,
8748 - 8774,279.892360525137,5515.48137207353,0.00202871979577303,1,
8748 - 8774,332.271147272339,5429.24116989546,0.00199699868322681,1,
8748 - 8774,131.381629278537,5408.63441025693,0.0019894190472195,1,
8748 - 8774,64.8283794391932,5400.08765908388,0.0019862753572812,1,
8748 - 8774,51.033056594909,5395.70081452566,0.00198466177583728,1,
8748 - 8774,347.001342772186,5368.7693198486,0.00197475575808555,1,
8748 - 8774,488.419457108283,5366.79393458619,0.00197402916634935,1,
8748 - 8774,203.303693321893,5349.46198555827,0.00196765408034682,1,
8748 - 8774,214.284086245532,5320.35192603633,0.00195694673677618,1,
8748 - 8774,91.0555937768169,5317.6363636193,0.00195594789100725,1,
8748 - 8774,111.074695138563,5309.43590101684,0.00195293157390022,1,
8748 - 8774,271.105748863165,5294.6123064023,0.00194747911783876,1,
8748 - 8774,211.369490399267,5283.06008062385,0.00194322994581895,1,
8748 - 8774,262.658052004095,5267.9020634189,0.00193765448150426,1,
8748 - 8774,78.2691491855064,5259.8318482347,0.00193468607236716,1,
8748 - 8774,266.078537574913,5256.41840706853,0.00193343053088341,1,
8748 - 8774,157.958892739119,5252.16872828415,0.00193186740213835,1,
8748 - 8774,83.1559693830623,5246.02364089748,0.00192960709889606,1,
8748 - 8774,62.9655138696353,5243.61944193393,0.00192872277970408,1,
8748 - 8774,121.023838553479,5220.75037563623,0.00192031101572933,1,
8748 - 8774,246.289545922982,5220.6338654833,0.00192026816063878,1,
8748 - 8774,215.451879378774,5200.88454676171,0.00191300391094946,1,
8748 - 8774,110.059404787065,5189.68961824475,0.00190888616100842,1,
8748 - 8774,137.529325341955,5167.8833238155,0.00190086530875697,1,
8748 - 8774,66.6819406021068,5164.85292787737,0.00189975066004111,1,
8748 - 8774,58.8426088423947,5101.62200754263,0.00187649288594408,1,
8748 - 8774,187.608228280845,5089.72917186597,0.00187211842983817,1,
8748 - 8774,430.050090893878,5086.64740924739,0.00187098488728614,1,
8748 - 8774,71.7582488690008,5086.24668244156,0.00187083749083081,1,
8748 - 8774,63.0104330735691,5071.69290130538,0.00186548427831815,1,
8748 - 8774,447.876153241191,5037.72410810895,0.00185298978172805,1,
8748 - 8774,55.0380249562154,5035.90183847232,0.00185231950940989,1,
8748 - 8774,96.0834169798255,5009.22930974918,0.00184250874524015,1,
8748 - 8774,190.630823216572,4995.12841219395,0.00183732211363384,1,
8748 - 8774,294.14019320396,4993.80039897142,0.0018368336400933,1,
8748 - 8774,166.564471740589,4992.66558160305,0.00183641622839258,1,
8748 - 8774,348.044841899247,4991.61433866984,0.00183602955727452,1,
8748 - 8774,167.427046791573,4989.66295802593,0.00183531179498428,1,
8748 - 8774,237.788236143303,4977.39258231126,0.00183079847104488,1,
8748 - 8774,200.987559307869,4976.98083166748,0.00183064701977061,1,
8748 - 8774,337.080947079129,4965.36950842753,0.00182637611035711,1,
8748 - 8774,131.428710950826,4962.63334102945,0.00182536968560638,1,
8748 - 8774,217.759773949527,4948.05982582557,0.00182000921445371,1,
8748 - 8774,72.8151627216953,4915.08019525909,0.00180787855443076,1,
8748 - 8774,92.0372194792263,4894.46389784001,0.00180029541021032,1,
8748 - 8774,111.055125611327,4874.07266014811,0.00179279504808865,1,
8748 - 8774,52.728889005369,4868.72479206341,0.00179082798028137,1,
8748 - 8774,80.5428391948542,4857.81492500559,0.00178681508244411,1,
8748 - 8774,357.187322257741,4827.9630339286,0.00177583487631455,1,
8748 - 8774,65.84526095212,4822.53664114084,0.00177383892533121,1,
8748 - 8774,62.6177535636799,4818.22295432433,0.00177225225297261,1,
8748 - 8774,246.050986387891,4813.98162323721,0.00177069219470092,1,
8748 - 8774,221.253968626139,4769.33043756721,0.00175426847061183,1,
8748 - 8774,340.48632935879,4757.02013743463,0.00174974046156128,1,
8748 - 8774,153.839393436041,4711.92158323239,0.0017331521851265,1,
8748 - 8774,402.600049922716,4691.99969682147,0.00172582446110669,1,
8748 - 8774,268.609398938471,4665.61327943032,0.0017161189352079,1,
8748 - 8774,65.1983680278661,4665.13443731642,0.00171594280616131,1,
8748 - 8774,359.333902170183,4661.57942841925,0.0017146351928385,1,
8748 - 8774,211.184534314827,4643.91479511022,0.00170813773797254,1,
8748 - 8774,55.0358096862674,4636.34327439239,0.00170535276002988,1,
8748 - 8774,325.659797181008,4550.47239382481,0.00167376749239214,1,
8748 - 8774,366.647917155207,4476.62979285993,0.00164660650022429,1,
8748 - 8774,188.858023404345,4470.99058755439,0.00164453227194501,1,
8748 - 8774,61.5139572181085,4402.6807310092,0.00161940634931543,1,
8748 - 8774,101.609283604286,4384.07737293782,0.00161256361007995,1,
8748 - 8774,76.4160996709448,4373.93690285356,0.001608833713991,1,
8748 - 8774,325.734281339091,4370.83187855137,0.00160769161526139,1,
8748 - 8774,202.40296971118,4362.81819535479,0.00160474399987821,1,
8748 - 8774,251.204361988935,4356.32628653723,0.00160235612780648,1,
8748 - 8774,445.224590929966,4346.95665627615,0.00159890976417882,1,
8748 - 8774,425.367566185309,4327.7267520256,0.00159183656697405,1,
8748 - 8774,160.810619354773,4310.51513600597,0.00158550574219544,1,
8748 - 8774,65.3299143811664,4293.51794880251,0.00157925378922417,1,
8748 - 8774,66.8797853601344,4292.03491159775,0.00157870829432859,1,
8748 - 8774,54.5750576286139,4286.50551833134,0.0015766744574209,1,
8748 - 8774,51.8175639718603,4274.70731081541,0.00157233480770993,1,
8748 - 8774,133.844310661467,4260.7731110755,0.00156720949136062,1,
8748 - 8774,270.140456368012,4232.53089542388,0.00155682136055139,1,
8748 - 8774,407.433125521028,4215.92033165244,0.00155071161649303,1,
8748 - 8774,186.628414898343,4180.74064877393,0.00153777172707086,1,
8748 - 8774,341.681329830503,4172.60655325209,0.00153477982128918,1,
8748 - 8774,58.6324721333691,4100.99176897682,0.00150843827089162,1,
8748 - 8774,369.274987934102,3996.09572832755,0.00146985511562237,1,
8748 - 8774,53.0133186639285,3993.20318048498,0.00146879117057885,1,
8748 - 8774,355.472382236683,3972.60056113582,0.00146121305746436,1,
8748 - 8774,203.423286711788,3925.49914398724,0.00144388808237477,1,
8748 - 8774,111.082017720282,3924.49031138709,0.00144351701074412,1,
8748 - 8774,101.870936981988,3909.1506583248,0.00143787473661999,1,
8748 - 8774,315.988615899391,3888.48796542475,0.00143027452708388,1,
8748 - 8774,122.285908554322,3882.5579620374,0.00142809333664022,1,
8748 - 8774,66.1518519516947,3873.90033273174,0.00142490886319684,1,
8748 - 8774,432.648759432959,3837.99877849588,0.00141170345303154,1,
8748 - 8774,97.6194455491217,3832.11395477215,0.00140953888069821,1,
8748 - 8774,355.806862859749,3828.58984654074,0.00140824263334477,1,
8748 - 8774,80.826116891909,3799.51821818726,0.00139754942563407,1,
8748 - 8774,72.6006588164796,3795.16055956889,0.00139594657944424,1,
8748 - 8774,456.94563920611,3776.18638813159,0.00138896744659862,1,
8748 - 8774,109.936971931253,3772.33895851161,0.00138755227426708,1,
8748 - 8774,127.384366443976,3765.05470799984,0.00138487296085566,1,
8748 - 8774,210.427628376027,3735.74318688993,0.00137409151511985,1,
8748 - 8774,135.072633352244,3734.272326111,0.0013735504989913,1,
8748 - 8774,56.2282019973929,3705.50317515933,0.00136296854936515,1,
8748 - 8774,139.642536475337,3702.71453701083,0.00136194282467614,1,
8748 - 8774,81.4631457061902,3698.49220283728,0.00136038975390237,1,
8748 - 8774,304.769520376967,3694.19850992716,0.00135881043575838,1,
8748 - 8774,210.256768874575,3692.40863825744,0.00135815208015108,1,
8748 - 8774,186.377850847245,3680.43102328162,0.00135374644028606,1,
8748 - 8774,247.816369103497,3631.3040066704,0.00133567640353259,1,
8748 - 8774,380.550317830932,3623.9291223316,0.00133296375293324,1,
8748 - 8774,134.375253166514,3524.4764643702,0.00129638279791994,1,
8748 - 8774,151.892803562538,3517.7399130262,0.00129390494074939,1,
8748 - 8774,318.428781249211,3483.97593314267,0.0012814857791653,1,
8748 - 8774,131.725337184845,3471.66151814459,0.00127695625657341,1,
8748 - 8774,155.775249205182,3467.2072005943,0.0012753178570247,1,
8748 - 8774,236.220422732679,3458.78044507697,0.00127221830422434,1,
8748 - 8774,247.059553018571,3458.37719014716,0.00127206997786737,1,
8748 - 8774,356.1505947019,3450.02978251058,0.0012689996110266,1,
8748 - 8774,86.6309681540193,3449.84628168996,0.00126893211524115,1,
8748 - 8774,392.852398750466,3436.32530894421,0.00126395879320143,1,
8748 - 8774,156.052803444248,3403.07923903457,0.00125173013071353,1,
8748 - 8774,214.979728609247,3380.02520452226,0.00124325033121238,1,
8748 - 8774,62.0386824094103,3358.19015705782,0.00123521890293903,1,
8748 - 8774,498.2275701314,3328.25487806461,0.00122420802483273,1,
8748 - 8774,66.0435100733921,3284.60801668711,0.00120815371411594,1,
8748 - 8774,213.727286014402,3272.22125942939,0.00120359758239163,1,
8748 - 8774,179.205333957624,3243.47852440603,0.00119302534914617,1,
8748 - 8774,158.433363669994,3233.38693469517,0.00118931343237297,1,
8748 - 8774,255.603613167471,3218.12858958512,0.00118370106516742,1,
8748 - 8774,73.9192142938382,3207.08809827742,0.00117964012075295,1,
8748 - 8774,121.619828785705,3169.60451572181,0.00116585280450308,1,
8748 - 8774,77.8390674758274,3133.84235820479,0.00115269866762907,1,
8748 - 8774,256.53628649223,3117.77239582237,0.00114678776908672,1,
8748 - 8774,486.314727473739,3105.1805439079,0.00114215619887171,1,
8748 - 8774,67.0370391488459,3062.44564209207,0.00112643732767342,1,
8748 - 8774,105.75065348863,3027.19131292936,0.00111346998164607,1,
8748 - 8774,152.033349883441,2971.30056580105,0.00109291209060253,1,
8748 - 8774,51.2576622004257,2948.64661556767,0.00108457945122066,1,
8748 - 8774,211.205395566308,2849.21975422507,0.00104800798479189,1,
8748 - 8774,165.589206431052,2823.57724716701,0.00103857608607398,1,
8748 - 8774,57.0482486943055,2816.40377098053,0.00103593751798494,1,
8748 - 8774,346.398590550071,2812.99848729543,0.0010346849770087,1,
8748 - 8774,306.933622891571,2801.38168016394,0.00103041205049486,1,
8748 - 8774,425.0154893436,2753.56801378324,0.00101282509389917,1,
8748 - 8774,96.0528378667172,2730.32657418953,0.00100427636253643,1,
8748 - 8774,387.567657530815,2725.15772155726,0.00100237514069393,1,
8748 - 8774,61.8761896462281,2720.9871491274,0.0010008411090696,1,
8748 - 8774,93.0566078333457,2707.4856074245,0.000995874934210445,1,
8748 - 8774,395.201577116452,2704.37760370379,0.000994731739582779,1,
8748 - 8774,394.157450927388,2701.0095211861,0.000993492882044066,1,
8748 - 8774,263.214417280869,2684.85379781426,0.000987550438654546,1,
8748 - 8774,316.135351787954,2674.34997832592,0.000983686894370793,1,
8748 - 8774,491.707453318516,2649.67781961118,0.000974611911896465,1,
8748 - 8774,121.358776541643,2617.89645813995,0.000962922002566021,1,
8748 - 8774,278.595300940494,2586.41783301174,0.000951343446564605,1,
8748 - 8774,428.255480168595,2585.36582646025,0.000950956494570333,1,
8748 - 8774,226.830934678159,2552.34990806886,0.000938812487058066,1,
8748 - 8774,50.9908344499732,2529.74076227763,0.00093049632777151,1,
8748 - 8774,252.481343264777,2516.96326784776,0.000925796474006884,1,
8748 - 8774,352.990378229168,2498.01548195061,0.000918827046364494,1,
8748 - 8774,56.8777410066139,2487.82058281384,0.000915077130029106,1,
8748 - 8774,383.644049123945,2484.94789646812,0.00091402049049695,1,
8748 - 8774,239.180972291044,2449.62080690337,0.000901026381534868,1,
8748 - 8774,221.210314235107,2431.69026209223,0.000894431118355929,1,
8748 - 8774,140.983355207198,2416.66857049662,0.000888905797708429,1,
8748 - 8774,229.039463620668,2401.06135141506,0.000883165106702193,1,
8748 - 8774,258.412641566036,2388.69884229129,0.000878617893994378,1,
8748 - 8774,358.693846002405,2386.90453276589,0.000877957906042581,1,
8748 - 8774,119.491976071451,2380.18292923569,0.000875485547018745,1,
8748 - 8774,104.378082109058,2378.99848748126,0.00087504988233745,1,
8748 - 8774,75.5952150857353,2352.58032735894,0.000865332680738434,1,
8748 - 8774,464.104249432612,2343.3830008434,0.000861949694356732,1,
8748 - 8774,62.0156753778333,2301.40254380179,0.00084650832514694,1,
8748 - 8774,236.783121350959,2283.26324313797,0.000839836276805974,1,
8748 - 8774,256.341677003879,2256.23037258043,0.00082989297069414,1,
8748 - 8774,99.4922448889762,2214.36789339365,0.000814494996429122,1,
8748 - 8774,215.034915751583,2180.35999539161,0.000801986116199976,1,
8748 - 8774,195.496246620837,2170.26475747782,0.000798272857534567,1,
8748 - 8774,306.79331766285,2161.94063587806,0.000795211055829033,1,
8748 - 8774,51.2006845913121,2161.80053586362,0.000795159523849591,1,
8748 - 8774,100.502381597836,2136.61386414163,0.000785895291760846,1,
8748 - 8774,151.827248001496,2114.92613431,0.000777918050271539,1,
8748 - 8774,84.794290770104,2098.70890272366,0.000771952982758405,1,
8748 - 8774,176.428842087813,2087.40633893603,0.000767795642110852,1,
8748 - 8774,159.902570068656,2077.64531477705,0.000764205314884184,1,
8748 - 8774,223.583758145044,2076.82779747082,0.000763904613380423,1,
8748 - 8774,184.165787828586,2068.01009398934,0.000760661261005648,1,
8748 - 8774,132.304255617564,2058.65387088908,0.000757219828837412,1,
8748 - 8774,298.977567864313,2030.86191335509,0.00074699731322926,1,
8748 - 8774,67.989964131431,2018.84224354717,0.000742576204638188,1,
8748 - 8774,66.2150303186925,1994.92459269524,0.00073377874735778,1,
8748 - 8774,415.74922284128,1975.86982058586,0.000726769967747358,1,
8748 - 8774,301.085634414562,1903.99217673692,0.000700331731605687,1,
8748 - 8774,219.331102014373,1896.62752469046,0.000697622844676746,1,
8748 - 8774,478.09683104119,1894.01844951584,0.000696663167343376,1,
8748 - 8774,355.249078717548,1892.11303241917,0.000695962311493733,1,
8748 - 8774,49.9486400117692,1817.63065847245,0.000668565996237013,1,
8748 - 8774,446.898313219193,1799.87145616269,0.000662033756736509,1,
8748 - 8774,272.171800438232,1799.37898039896,0.000661852612922687,1,
8748 - 8774,175.119294489367,1792.36817508519,0.000659273878889357,1,
8748 - 8774,193.958621019526,1691.14342524734,0.000622041108082081,1,
8748 - 8774,459.086160274735,1665.21499765345,0.000612504041272404,1,
8748 - 8774,206.758779313986,1652.65475212379,0.000607884096606321,1,
8748 - 8774,127.10483509907,1644.65129481266,0.000604940242536951,1,
8748 - 8774,131.642479389003,1620.08489738399,0.000595904161474886,1,
8748 - 8774,122.537464819022,1609.39107328718,0.000591970729164234,1,
8748 - 8774,390.820552872851,1594.26845752035,0.000586408286305594,1,
8748 - 8774,153.437479895265,1579.18393648622,0.000580859855558166,1,
8748 - 8774,151.618905001587,1568.29778861998,0.000576855682180338,1,
8748 - 8774,185.427707643587,1462.50570122043,0.000537942940487415,1,
8748 - 8774,93.057919746194,1439.08243240069,0.000529327328189834,1,
8748 - 8774,99.5505251979561,1432.09811583339,0.000526758337321372,1,
8748 - 8774,91.0526327853207,416.508409196198,0.000153201288852254,1,
8748 - 8774,221.077395946166,411.479263133948,0.000151351454271363,1,
8748 - 8774,107.046158919213,288.377789616559,0.000106071925728659,1,
8748 - 8774,278.070714308588,89.9272755144581,3.30773021807034E-05,1,
